発表日（初出）	解ける問題	論文	対象サイズ	見積もりの種類	実験実施	論理量子ビット(q)	物理量子ビット(q)	Toffoli数	Tゲート数	Cliffordゲート数	その他論理ゲート数	深さ/サイクル(count)	実行時間(s)	時空間体積(qubit-days)	デバイス	誤り訂正符号	物理量子ビット種	物理エラー率(fraction)	code distance	cycle/測定時間(s)	reaction time(s)	shot/run(count)	retry risk(fraction)	論理エラー率推定(fraction)	論理エラー率推定根拠	通信・その他仮定	数値根拠	備考	古典計算時間(s)	古典/量子時間比	古典計算仮定	古典計算根拠
2012-08-04	整数の素因数分解	[Fowler et al. 2012](https://arxiv.org/pdf/1208.0928#page=2)	N=2000 bits	surface code概算 / 後続節の小規模見積もり	0	4e3	1.3e8	3.2e11	NA	NA	NA	NA	9.612e4	NA	surface code	surface code	not specified	1e-3	NA	NA	NA	NA	NA	NA	NA	NA	論理量子ビット: [4e3](https://arxiv.org/pdf/1208.0928#page=2); 物理量子ビット: [1.3e8](https://arxiv.org/pdf/1208.0928#page=12); Toffoli数: [40N^3 = 3.2e11](https://arxiv.org/pdf/1208.0928#page=2); 実行時間: [9.612e4](https://arxiv.org/pdf/1208.0928#page=12); 物理エラー率: [1e-3](https://arxiv.org/pdf/1208.0928#page=12)	RSA-2048ではなくN=2000 bit。Toffoli数はN=2000の40N^3。他ゲート種の総数はこの表では記載なし。非ゲート資源: [280N^3 ~= 2.2e12 AL states](https://arxiv.org/pdf/1208.0928#page=2)	NA	NA	NA	NA
2012-08-04	整数の素因数分解	[Fowler et al. 2012](https://arxiv.org/pdf/1208.0928#page=2)	N=2000 bits	surface code概算 / 本文概算	0	4e3	1e9	3.2e11	NA	NA	NA	NA	8.64e4	NA	surface code	surface code	not specified	1e-3	NA	NA	NA	NA	NA	NA	NA	NA	論理量子ビット: [4e3](https://arxiv.org/pdf/1208.0928#page=2); 物理量子ビット: [1e9](https://arxiv.org/pdf/1208.0928#page=2); Toffoli数: [40N^3 = 3.2e11](https://arxiv.org/pdf/1208.0928#page=2); 実行時間: [8.64e4](https://arxiv.org/pdf/1208.0928#page=2); 物理エラー率: [1e-3](https://arxiv.org/pdf/1208.0928#page=12)	RSA-2048ではなくN=2000 bit。Toffoli数はN=2000の40N^3。他ゲート種の総数はこの表では記載なし。非ゲート資源: [280N^3 ~= 2.2e12 AL states](https://arxiv.org/pdf/1208.0928#page=2)	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Nested rotations / logical qubits option 1	0	1.09e2	3e7	NA	NA	NA	NA	NA	1.296e6	NA	surface code	surface code	not specified	1e-6	9e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Nested rotationsのTable I runtimeは15 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Nested rotations / logical qubits option 1	0	1.09e2	5.2e6	NA	NA	NA	NA	NA	1.296e6	NA	surface code	surface code	not specified	1e-9	5e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Nested rotationsのTable I runtimeは15 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Nested rotations / logical qubits option 1 / code distance option 1	0	1.09e2	5.1e9	NA	NA	NA	NA	NA	1.296e6	NA	surface code	surface code	not specified	1e-3	3.7e1	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Nested rotationsのTable I runtimeは15 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Nested rotations / logical qubits option 2	0	1.11e2	3e7	NA	NA	NA	NA	NA	1.296e6	NA	surface code	surface code	not specified	1e-6	9e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Nested rotationsのTable I runtimeは15 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Nested rotations / logical qubits option 2	0	1.11e2	5.2e6	NA	NA	NA	NA	NA	1.296e6	NA	surface code	surface code	not specified	1e-9	5e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Nested rotationsのTable I runtimeは15 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Nested rotations / logical qubits option 2 / code distance option 2	0	1.11e2	5.1e9	NA	NA	NA	NA	NA	1.296e6	NA	surface code	surface code	not specified	1e-3	1.7e1	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Nested rotationsのTable I runtimeは15 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / PAR rotations / logical qubits option 1	0	1.09e2	1.5e8	NA	NA	NA	NA	NA	3.96e5	NA	surface code	surface code	not specified	1e-9	5e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。PAR rotationsのTable I runtimeは110 hours。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / PAR rotations / logical qubits option 1 / code distance option 1	0	1.09e2	1.8e11	NA	NA	NA	NA	NA	3.96e5	NA	surface code	surface code	not specified	1e-3	3.7e1	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。PAR rotationsのTable I runtimeは110 hours。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
